Name,Rubric Level,Rubric Item,Rubric Group,Rubric Unit
Explain the use of the double pipe (OR) operator,2 (Emerging),Control flow with conditionals,Procedural Ruby,Ruby
Describe the connection between comparison operators and booleans,3 (Progressing),Control flow with conditionals,Procedural Ruby,Ruby
Describe the connection between booleans and control flow,3 (Progressing),Control flow with conditionals,Procedural Ruby,Ruby
Define a method which returns two different values based on one condition,3 (Progressing),Control flow with conditionals,Procedural Ruby,Ruby
Define statement modifiers,3 (Progressing),Control flow with conditionals,Procedural Ruby,Ruby
Define the ternary operator,3 (Progressing),Control flow with conditionals,Procedural Ruby,Ruby
Define a method which returns different values based on multiple conditions,4 (Proficient),Control flow with conditionals,Procedural Ruby,Ruby
Convert between using case statements and if statements,4 (Proficient),Control flow with conditionals,Procedural Ruby,Ruby
Describe how to debug a program with a complicated control flow,4 (Proficient),Control flow with conditionals,Procedural Ruby,Ruby
Implement a custom sorting function with the spaceship operator,5 (Mastery),Control flow with conditionals,Procedural Ruby,Ruby
Use a ternary operator to conditionally assign a value to a variable,5 (Mastery),Control flow with conditionals,Procedural Ruby,Ruby
Use a statement modifier to conditionally return a value,5 (Mastery),Control flow with conditionals,Procedural Ruby,Ruby
Describe how the return statement is related to control flow,5 (Mastery),Control flow with conditionals,Procedural Ruby,Ruby
Define looping,1 (Novice),Control flow with loops,Procedural Ruby,Ruby
Define iteration (over a collection),1 (Novice),Control flow with loops,Procedural Ruby,Ruby
"Recognize the ""add AND"", ""subtract AND"", etc. operators in Ruby",1 (Novice),Control flow with loops,Procedural Ruby,Ruby
Recognize a while loop,2 (Emerging),Control flow with loops,Procedural Ruby,Ruby
Recognize an until loop,2 (Emerging),Control flow with loops,Procedural Ruby,Ruby
Recognize a for loop,2 (Emerging),Control flow with loops,Procedural Ruby,Ruby
Use a while loop to perform an operation n times,3 (Progressing),Control flow with loops,Procedural Ruby,Ruby
Use a for loop to perform an operation n times,3 (Progressing),Control flow with loops,Procedural Ruby,Ruby
Use a times loop to perform an operation n times,3 (Progressing),Control flow with loops,Procedural Ruby,Ruby
Explain how for loops are an abstraction of while loops,4 (Proficient),Control flow with loops,Procedural Ruby,Ruby
Use break to stop a loop based on a condition,4 (Proficient),Control flow with loops,Procedural Ruby,Ruby
"Implement a method which loops at non-standard intervals (even numbers, multiples of 4.5)",5 (Mastery),Control flow with loops,Procedural Ruby,Ruby
Recognize a method definition,1 (Novice),Methods,Procedural Ruby,Ruby
Recognize a method call,1 (Novice),Methods,Procedural Ruby,Ruby
Recognize a method call with arguments,1 (Novice),Methods,Procedural Ruby,Ruby
Recognize a method definition with positional parameters,1 (Novice),Methods,Procedural Ruby,Ruby
Recognize error raised when required positional arguments are not passed to a method,1 (Novice),Methods,Procedural Ruby,Ruby
Explain what a procedure/method does,2 (Emerging),Methods,Procedural Ruby,Ruby
Explain what the return statement does,2 (Emerging),Methods,Procedural Ruby,Ruby
Explain what a method returns without a return statement,2 (Emerging),Methods,Procedural Ruby,Ruby
Define and invoke a method with an implicit return,3 (Progressing),Methods,Procedural Ruby,Ruby
Define and invoke a method with an explicit return,3 (Progressing),Methods,Procedural Ruby,Ruby
Define and invoke a method which accepts required positional arguments,3 (Progressing),Methods,Procedural Ruby,Ruby
Define and invoke a method which calls another method in its definition,3 (Progressing),Methods,Procedural Ruby,Ruby
Define and invoke a method with default arguments,4 (Proficient),Methods,Procedural Ruby,Ruby
Define and invoke a method that uses the splat operator,4 (Proficient),Methods,Procedural Ruby,Ruby
Explain what the splat operator does to a method's arguments,4 (Proficient),Methods,Procedural Ruby,Ruby
Demonstrate chaining custom methods,4 (Proficient),Methods,Procedural Ruby,Ruby
Define and invoke a method with required keyword parameters,5 (Mastery),Methods,Procedural Ruby,Ruby
Define and invoke a method with required keyword parameters and default keyword arguments,5 (Mastery),Methods,Procedural Ruby,Ruby
Define and invoke a method that uses the double splat operator,5 (Mastery),Methods,Procedural Ruby,Ruby
Explain what the double splat operator does to a method's arguments,5 (Mastery),Methods,Procedural Ruby,Ruby
Identify methods that have code smells and refactor them into multiple methods,5 (Mastery),Methods,Procedural Ruby,Ruby
Explain what keyword parameters are,5 (Mastery),Methods,Procedural Ruby,Ruby
Recognize a local variable,1 (Novice),Variables and Scope,Procedural Ruby,Ruby
Recognize an instance variable,1 (Novice),Variables and Scope,Procedural Ruby,Ruby
Recognize a class variable,1 (Novice),Variables and Scope,Procedural Ruby,Ruby
Recognize a class constant,1 (Novice),Variables and Scope,Procedural Ruby,Ruby
Define variable scope,1 (Novice),Variables and Scope,Procedural Ruby,Ruby
Recognize a global variable,1 (Novice),Variables and Scope,Procedural Ruby,Ruby
Identify the scope of a local variable,2 (Emerging),Variables and Scope,Procedural Ruby,Ruby
Identify the scope of an instance variable,2 (Emerging),Variables and Scope,Procedural Ruby,Ruby
Identify the scope of a class variable,2 (Emerging),Variables and Scope,Procedural Ruby,Ruby
Identify the scope of a global variable,2 (Emerging),Variables and Scope,Procedural Ruby,Ruby
Describe how a variable differs from a value,3 (Progressing),Variables and Scope,Procedural Ruby,Ruby
Describe the scope of arguments passed into a method,3 (Progressing),Variables and Scope,Procedural Ruby,Ruby
Assign three types of variables,3 (Progressing),Variables and Scope,Procedural Ruby,Ruby
Implement an initialize method which saves instances of a class in a collection,3 (Progressing),Variables and Scope,Procedural Ruby,Ruby
Define pass-by-reference,4 (Proficient),Variables and Scope,Procedural Ruby,Ruby
Define pass-by-value,4 (Proficient),Variables and Scope,Procedural Ruby,Ruby
Demonstrate two ways to find the value of a variable at runtime,4 (Proficient),Variables and Scope,Procedural Ruby,Ruby
Define block scope in Ruby,5 (Mastery),Variables and Scope,Procedural Ruby,Ruby
Implement a method which utilizes a class constant,5 (Mastery),Variables and Scope,Procedural Ruby,Ruby
Explain when one would use the OR EQUALS operator in Ruby,5 (Mastery),Variables and Scope,Procedural Ruby,Ruby
